"location","quantile","scenario_id","model_projection_date","target","target_end_date","type","scenario_name","value","age_group"
"US",0,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.01,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.025,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.05,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.1,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.15,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.2,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.25,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.3,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.35,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.4,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.45,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.5,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.55,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.6,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.65,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.7,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.75,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.8,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.85,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.9,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.95,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.975,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",0.99,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",1,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"quantile","highVac_optImm",12000,"0-130"
"US",NA,"A-2022-08-14",2022-08-14,"1 wk ahead inc death",2022-08-20,"point","highVac_optImm",12000,"0-130"
