"sample","value","target_end_date","scenario_id","scenario_name","model_projection_date","location","target","age_group"
1,5803.36148289746,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
2,6216.35661215596,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
3,5543.47082387883,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
4,6187.85115435572,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
5,6399.3421513348,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
6,6375.66790232661,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
7,6115.78790870459,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
8,5630.83754526237,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
9,5724.62958836383,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
10,5746.50253983048,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
11,6023.12609804202,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
12,6425.70338026057,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
13,6617.12868342268,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
14,5927.34183966117,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
15,6148.56180196947,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
16,6347.68387952222,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
17,6484.8340165421,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
18,6087.54814880787,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
19,7135.73268246233,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
20,5759.82246946673,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
21,5280.66337901135,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
22,5771.63377837173,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
23,6378.12538367627,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
24,6584.44719350162,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
25,6809.57264174785,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
26,6464.25555270766,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
27,5335.42026103837,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
28,6325.63783435861,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
29,6321.72755927339,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
30,4418.61545512265,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
31,6249.03066370849,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
32,5907.43866439164,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
33,5644.7652843388,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
34,6074.8355270558,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
35,5523.60549484314,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
36,5798.46292499992,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
37,5943.26712098975,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
38,6116.12380871496,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
39,6183.36355882937,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
40,6212.63344145319,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
41,6534.77703704411,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
42,5670.47431837405,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
43,5474.31716661652,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
44,5835.72996280595,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
45,6351.5137544745,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
46,6440.0945473955,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
47,6254.9474633582,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
48,6167.81650419156,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
49,5859.00227083252,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
50,6460.49675065366,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
51,5948.80849139126,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
52,5243.84083889176,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
53,5538.45649908892,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
54,6163.23142723031,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
55,5899.48749936915,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
56,5520.90850532103,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
57,6253.90094391635,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
58,5618.66807338212,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
59,5190.96186366452,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
60,5902.09701479741,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
61,4918.80617212101,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
62,6243.28264387648,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
63,6468.23222118556,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
64,5544.49512984205,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
65,6426.96092804057,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
66,6716.7705721295,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
67,6141.3494211342,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
68,5333.3438833879,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
69,6510.93219641139,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
70,5830.80941166098,"2022-11-19","A-2022-11-13","highVE_optImm","2022-11-13","US","1 wk ahead inc hosp","0-130"
