"sample","value","target_end_date","scenario_name","location","target","age_group","scenario_id","model_projection_date"
1,5060.09507479146,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
2,4980.72027380138,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
3,4837.04526585645,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
4,5240.65186549963,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
5,5350.85048045298,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
6,5274.98696364643,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
7,5346.1591264156,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
8,5092.60698365906,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
9,4912.89837774585,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
10,5117.63957203752,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
11,5432.43286742866,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
12,5406.02672142785,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
13,5425.27199961027,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
14,5043.64817868323,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
15,5254.60257260297,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
16,5396.41944105746,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
17,5804.96919572642,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
18,5155.14653356177,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
19,5816.57163145028,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
20,4954.99143848788,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
21,4576.57689635541,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
22,5113.15326449117,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
23,5102.02498997885,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
24,5402.63903112487,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
25,5554.46289534533,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
26,5259.11909300072,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
27,4610.33783254163,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
28,5268.01716455023,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
29,5541.26747964111,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
30,3718.46601250037,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
31,5214.45809525433,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
32,4930.95039504313,"2022-11-19","highVE_optImm","US","1 wk ahead inc hosp","0-130","A-2022-11-13","2022-11-13"
