"value","quantile","location","scenario_id","model_projection_date","target","target_end_date","type","scenario_name","age_group"
2185.87707765647,0.01,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
2199.15277321192,0.025,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
2271.54808890614,0.05,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
2303.81217566499,0.1,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
2373.76229400566,0.15,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
2413.12207655842,0.2,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
2446.32011192817,0.25,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
2523.62789358095,0.3,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
2590.01154051819,0.35,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
2640.98738832113,0.4,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
2697.78898056865,0.45,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
2765.54554185828,0.5,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
2863.56073585993,0.55,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
2939.40492498124,0.6,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
3065.2427913202,0.65,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
3183.54960820167,0.7,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
3264.99831485649,0.75,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
3466.88544246163,0.8,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
3529.32165954765,0.85,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
3742.19419283088,0.9,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
3863.80784214777,0.95,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
4017.70349980997,0.975,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
4131.8105499689,0.99,"CA","A-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_optImm","0-130"
2702.56939529461,0.01,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
2805.07013198426,0.025,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
2862.23471908336,0.05,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
3028.6162148252,0.1,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
3153.44845592945,0.15,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
3296.30997340061,0.2,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
3442.96233480211,0.25,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
3561.2391078119,0.3,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
3628.70773474854,0.35,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
3764.34634604082,0.4,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
3865.26399187702,0.45,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
4057.74416509541,0.5,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
4183.95992795868,0.55,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
4294.00067315554,0.6,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
4385.33200914953,0.65,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
4508.24486967043,0.7,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
4538.71555326972,0.75,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
4683.93084085095,0.8,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
4829.44941699943,0.85,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
5028.09719151446,0.9,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
5171.85641798323,0.95,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
5451.47515893807,0.975,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
5677.01405513314,0.99,"CA","B-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","highVE_pesImm","0-130"
2555.02128047367,0.01,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
2683.25474775101,0.025,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
2733.85462512637,0.05,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
2769.27725100123,0.1,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
2904.51004007682,0.15,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
2998.40262277785,0.2,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
3072.20543469013,0.25,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
3111.16935902517,0.3,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
3194.91340184335,0.35,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
3274.11213203839,0.4,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
3458.53114260062,0.45,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
3559.97195628756,0.5,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
3908.81752880817,0.55,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
4003.36052252242,0.6,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
4186.33785180022,0.65,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
4385.0397924766,0.7,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
4505.28775607945,0.75,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
4669.25210366568,0.8,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
4922.77227250601,0.85,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
5249.39933421383,0.9,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
5551.59514186949,0.95,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
5703.59461679474,0.975,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
5757.91168197494,0.99,"CA","C-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_optImm","0-130"
3193.57952490148,0.01,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
3280.25757939622,0.025,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
3378.85504652769,0.05,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
3554.16827675409,0.1,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
3663.18200768683,0.15,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
3711.93838708864,0.2,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
3840.04081474043,0.25,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
3970.80275058275,0.3,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
4122.83724570646,0.35,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
4398.00479035926,0.4,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
4706.35262772455,0.45,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
4982.9315375382,0.5,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
5263.64093926498,0.55,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
5438.35664717487,0.6,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
5527.10430609111,0.65,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
5746.4869344349,0.7,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
5998.89707106932,0.75,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
6274.50652912175,0.8,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
6393.03396796549,0.85,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
6827.66615588183,0.9,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
7183.19291580472,0.95,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
7337.30956761224,0.975,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
7433.50592897731,0.99,"CA","D-2022-12-04","2022-12-04","peak size hosp",NA,"quantile","lowVE_pesImm","0-130"
4553.78916398498,0.01,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
5121.29734956556,0.025,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
5360.84303427555,0.05,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
5519.31788484919,0.1,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
5767.94740272369,0.15,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
5855.94488973578,0.2,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
6005.71327847008,0.25,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
6078.0650596879,0.3,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
6190.80782061056,0.35,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
6345.90654053149,0.4,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
6455.25732519078,0.45,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
6708.31813539531,0.5,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
6915.49774477304,0.55,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
6971.70332551586,0.6,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
7305.25598042699,0.65,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
7660.43979395043,0.7,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
8158.17886752012,0.75,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
8384.69155132646,0.8,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
8684.26237088949,0.85,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
9046.24563785885,0.9,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
9536.45182593562,0.95,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
9748.45384043003,0.975,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
10006.9155701333,0.99,"CA","A-2022-12-04","2022-12-04","1 wk ahead cum hosp","2022-12-10","quantile","highVE_optImm","0-130"
6411.93672016774,0.01,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
7021.30400936081,0.025,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
7312.53862078683,0.05,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
7498.87735807949,0.1,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
7842.80160239457,0.15,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
7946.41856829118,0.2,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
8161.8299443698,0.25,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
8299.34118205148,0.3,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
8492.36372923257,0.35,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
8648.28011644902,0.4,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
8858.52545213361,0.45,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
9075.60369204098,0.5,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
9415.07177719055,0.55,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
9474.89446452249,0.6,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
9909.14148922393,0.65,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
10466.9379691626,0.7,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
11166.0845296335,0.75,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
11382.3339586328,0.8,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
11762.7274238743,0.85,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
12251.907327818,0.9,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
12967.003920339,0.95,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
13171.756996568,0.975,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
13599.5411682158,0.99,"CA","A-2022-12-04","2022-12-04","2 wk ahead cum hosp","2022-12-17","quantile","highVE_optImm","0-130"
8558.46207983488,0.01,"CA","A-2022-12-04","2022-12-04","3 wk ahead cum hosp","2022-12-24","quantile","highVE_optImm","0-130"
9105.55434151679,0.025,"CA","A-2022-12-04","2022-12-04","3 wk ahead cum hosp","2022-12-24","quantile","highVE_optImm","0-130"
9377.63437649299,0.05,"CA","A-2022-12-04","2022-12-04","3 wk ahead cum hosp","2022-12-24","quantile","highVE_optImm","0-130"
