scenario_id,scenario_name,model_projection_date,target,target_end_date,sample,location,value,age_group
A-2022-08-14,highVac_optImm,2022-08-14,1 wk ahead inc hosp,2022-08-20,1,US,0.8646273714985896,0-130
A-2022-08-14,highVac_optImm,2022-08-14,2 wk ahead inc hosp,2022-08-27,1,US,0.3186902594065937,0-130
A-2022-08-14,highVac_optImm,2022-08-14,3 wk ahead inc hosp,2022-09-03,1,US,0.133147263765365,0-130
A-2022-08-14,highVac_optImm,2022-08-14,4 wk ahead inc hosp,2022-09-10,1,US,0.15084027592634353,0-130
A-2022-08-14,highVac_optImm,2022-08-14,5 wk ahead inc hosp,2022-09-17,1,US,1.1566078703091462,0-130
A-2022-08-14,highVac_optImm,2022-08-14,6 wk ahead inc hosp,2022-09-24,1,US,9.02564354342809,0-130
A-2022-08-14,highVac_optImm,2022-08-14,7 wk ahead inc hosp,2022-10-01,1,US,71.22238572235061,0-130
A-2022-08-14,highVac_optImm,2022-08-14,8 wk ahead inc hosp,2022-10-08,1,US,174.30471635839803,0-130
A-2022-08-14,highVac_optImm,2022-08-14,9 wk ahead inc hosp,2022-10-15,1,US,192.0911126426114,0-130
A-2022-08-14,highVac_optImm,2022-08-14,10 wk ahead inc hosp,2022-10-22,1,US,266.4713024888665,0-130
A-2022-08-14,highVac_optImm,2022-08-14,11 wk ahead inc hosp,2022-10-29,1,US,364.9245242970733,0-130
A-2022-08-14,highVac_optImm,2022-08-14,12 wk ahead inc hosp,2022-11-05,1,US,598.8899403716973,0-130
A-2022-08-14,highVac_optImm,2022-08-14,13 wk ahead inc hosp,2022-11-12,1,US,1001.044027812856,0-130
A-2022-08-14,highVac_optImm,2022-08-14,14 wk ahead inc hosp,2022-11-19,1,US,1040.4475312979966,0-130
A-2022-08-14,highVac_optImm,2022-08-14,15 wk ahead inc hosp,2022-11-26,1,US,742.1506706234995,0-130
A-2022-08-14,highVac_optImm,2022-08-14,16 wk ahead inc hosp,2022-12-03,1,US,1939.5299743187481,0-130
A-2022-08-14,highVac_optImm,2022-08-14,17 wk ahead inc hosp,2022-12-10,1,US,1959.2040532621597,0-130
A-2022-08-14,highVac_optImm,2022-08-14,18 wk ahead inc hosp,2022-12-17,1,US,4482.772745929153,0-130
A-2022-08-14,highVac_optImm,2022-08-14,19 wk ahead inc hosp,2022-12-24,1,US,4969.217024401996,0-130
A-2022-08-14,highVac_optImm,2022-08-14,20 wk ahead inc hosp,2022-12-31,1,US,8143.722939726661,0-130
A-2022-08-14,highVac_optImm,2022-08-14,21 wk ahead inc hosp,2023-01-07,1,US,12361.277497417821,0-130
A-2022-08-14,highVac_optImm,2022-08-14,22 wk ahead inc hosp,2023-01-14,1,US,5711.947595717587,0-130
A-2022-08-14,highVac_optImm,2022-08-14,23 wk ahead inc hosp,2023-01-21,1,US,8514.566665593566,0-130
A-2022-08-14,highVac_optImm,2022-08-14,24 wk ahead inc hosp,2023-01-28,1,US,7026.500134309811,0-130
A-2022-08-14,highVac_optImm,2022-08-14,25 wk ahead inc hosp,2023-02-04,1,US,6081.322087816982,0-130
A-2022-08-14,highVac_optImm,2022-08-14,26 wk ahead inc hosp,2023-02-11,1,US,4811.452643539251,0-130
A-2022-08-14,highVac_optImm,2022-08-14,27 wk ahead inc hosp,2023-02-18,1,US,3181.6940742172565,0-130
A-2022-08-14,highVac_optImm,2022-08-14,28 wk ahead inc hosp,2023-02-25,1,US,2785.768837273226,0-130
A-2022-08-14,highVac_optImm,2022-08-14,29 wk ahead inc hosp,2023-03-04,1,US,3236.5294384774916,0-130
A-2022-08-14,highVac_optImm,2022-08-14,30 wk ahead inc hosp,2023-03-11,1,US,3360.3436943113857,0-130
A-2022-08-14,highVac_optImm,2022-08-14,31 wk ahead inc hosp,2023-03-18,1,US,3569.239563356387,0-130
A-2022-08-14,highVac_optImm,2022-08-14,32 wk ahead inc hosp,2023-03-25,1,US,2742.8854195104923,0-130
A-2022-08-14,highVac_optImm,2022-08-14,33 wk ahead inc hosp,2023-04-01,1,US,4304.459716711069,0-130
A-2022-08-14,highVac_optImm,2022-08-14,34 wk ahead inc hosp,2023-04-08,1,US,2155.768558421041,0-130
A-2022-08-14,highVac_optImm,2022-08-14,35 wk ahead inc hosp,2023-04-15,1,US,2842.76358561627,0-130
A-2022-08-14,highVac_optImm,2022-08-14,36 wk ahead inc hosp,2023-04-22,1,US,1919.7876579040765,0-130
A-2022-08-14,highVac_optImm,2022-08-14,37 wk ahead inc hosp,2023-04-29,1,US,1060.3555943186866,0-130
A-2022-08-14,highVac_optImm,2022-08-14,38 wk ahead inc hosp,2023-05-06,1,US,453.3900890803095,0-130
A-2022-08-14,highVac_optImm,2022-08-14,39 wk ahead inc hosp,2023-05-13,1,US,250.63721017928194,0-130
A-2022-08-14,highVac_optImm,2022-08-14,40 wk ahead inc hosp,2023-05-20,1,US,181.62024621198827,0-130
A-2022-08-14,highVac_optImm,2022-08-14,41 wk ahead inc hosp,2023-05-27,1,US,159.83261385995513,0-130
A-2022-08-14,highVac_optImm,2022-08-14,42 wk ahead inc hosp,2023-06-03,1,US,59.17053098572991,0-130
A-2022-08-14,highVac_optImm,2022-08-14,1 wk ahead inc hosp,2022-08-20,2,US,0.8094507216402004,0-130
A-2022-08-14,highVac_optImm,2022-08-14,2 wk ahead inc hosp,2022-08-27,2,US,0.6147143394919423,0-130
A-2022-08-14,highVac_optImm,2022-08-14,3 wk ahead inc hosp,2022-09-03,2,US,0.37962259833592427,0-130
A-2022-08-14,highVac_optImm,2022-08-14,4 wk ahead inc hosp,2022-09-10,2,US,0.45290282042416463,0-130
A-2022-08-14,highVac_optImm,2022-08-14,5 wk ahead inc hosp,2022-09-17,2,US,0.4994250673775118,0-130
A-2022-08-14,highVac_optImm,2022-08-14,6 wk ahead inc hosp,2022-09-24,2,US,9.79325567623003,0-130
A-2022-08-14,highVac_optImm,2022-08-14,7 wk ahead inc hosp,2022-10-01,2,US,57.107031032422064,0-130
A-2022-08-14,highVac_optImm,2022-08-14,8 wk ahead inc hosp,2022-10-08,2,US,154.07089081302766,0-130
A-2022-08-14,highVac_optImm,2022-08-14,9 wk ahead inc hosp,2022-10-15,2,US,40.87850812160873,0-130
A-2022-08-14,highVac_optImm,2022-08-14,10 wk ahead inc hosp,2022-10-22,2,US,45.226899116540956,0-130
A-2022-08-14,highVac_optImm,2022-08-14,11 wk ahead inc hosp,2022-10-29,2,US,48.28076466750579,0-130
A-2022-08-14,highVac_optImm,2022-08-14,12 wk ahead inc hosp,2022-11-05,2,US,69.65971010739831,0-130
A-2022-08-14,highVac_optImm,2022-08-14,13 wk ahead inc hosp,2022-11-12,2,US,161.6935377055827,0-130
A-2022-08-14,highVac_optImm,2022-08-14,14 wk ahead inc hosp,2022-11-19,2,US,204.32874839464398,0-130
A-2022-08-14,highVac_optImm,2022-08-14,15 wk ahead inc hosp,2022-11-26,2,US,424.56536565950364,0-130
A-2022-08-14,highVac_optImm,2022-08-14,16 wk ahead inc hosp,2022-12-03,2,US,383.7727046795714,0-130
A-2022-08-14,highVac_optImm,2022-08-14,17 wk ahead inc hosp,2022-12-10,2,US,2212.460713197448,0-130
A-2022-08-14,highVac_optImm,2022-08-14,18 wk ahead inc hosp,2022-12-17,2,US,2371.209022026107,0-130
