"location","quantile","scenario_id","model_projection_date","target","target_end_date","type","scenario_name","value","age_group"
"US",0,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",841.404366670689,"0-130"
"US",0.01,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",2485.41920696471,"0-130"
"US",0.025,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",3218.16328951071,"0-130"
"US",0.05,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",4054.8955085086,"0-130"
"US",0.1,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",5418.42873058658,"0-130"
"US",0.15,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",6536.7320657173,"0-130"
"US",0.2,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",7604.59246400205,"0-130"
"US",0.25,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",8619.22680696445,"0-130"
"US",0.3,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",9677.14927905804,"0-130"
"US",0.35,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",10830.6560414002,"0-130"
"US",0.4,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",12134.4500899965,"0-130"
"US",0.45,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",13470.726444315,"0-130"
"US",0.5,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",14878.957891593,"0-130"
"US",0.55,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",16596.6130859708,"0-130"
"US",0.6,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",18534.2709943572,"0-130"
"US",0.65,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",20994.4590350564,"0-130"
"US",0.7,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",23962.8376565699,"0-130"
"US",0.75,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",27794.7308405705,"0-130"
"US",0.8,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",32658.5400009062,"0-130"
"US",0.85,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",39617.6986165015,"0-130"
"US",0.9,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",51746.387529512,"0-130"
"US",0.95,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",74250.5072167572,"0-130"
"US",0.975,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",99590.5066089828,"0-130"
"US",0.99,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",144482.214588671,"0-130"
"US",1,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",762720.446400525,"0-130"
"US",0,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",1034.1830238658,"0-130"
"US",0.01,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",4216.64099274394,"0-130"
"US",0.025,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",5849.93212582021,"0-130"
"US",0.05,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",7848.4261493691,"0-130"
"US",0.1,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",10390.823956711,"0-130"
"US",0.15,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",12748.8442818825,"0-130"
"US",0.2,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",14645.841365737,"0-130"
"US",0.25,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",16632.3277851089,"0-130"
"US",0.3,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",18546.1653756064,"0-130"
"US",0.35,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",20555.5907193644,"0-130"
"US",0.4,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",22600.9832854017,"0-130"
"US",0.45,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",24620.1073407348,"0-130"
"US",0.5,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",27066.0887209587,"0-130"
"US",0.55,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",29749.9073998772,"0-130"
"US",0.6,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",32898.0850734119,"0-130"
"US",0.65,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",36394.1593153643,"0-130"
"US",0.7,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",40889.4038963022,"0-130"
"US",0.75,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",46924.360702707,"0-130"
"US",0.8,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",54570.1779484927,"0-130"
"US",0.85,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",66151.1043098217,"0-130"
"US",0.9,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",85436.2675300097,"0-130"
"US",0.95,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",128038.330279133,"0-130"
"US",0.975,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",178658.82084046,"0-130"
"US",0.99,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",264374.086078889,"0-130"
"US",1,"B-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_pesImm",1260610.57870657,"0-130"
"US",0,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",1679.27711081284,"0-130"
"US",0.01,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",5902.43601182637,"0-130"
"US",0.025,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",7928.4263805245,"0-130"
"US",0.05,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",10220.8698013014,"0-130"
"US",0.1,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",13468.0179441765,"0-130"
"US",0.15,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",16375.4264389352,"0-130"
"US",0.2,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",19233.2826482038,"0-130"
"US",0.25,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",21877.2599496753,"0-130"
"US",0.3,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",24650.9208404724,"0-130"
"US",0.35,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",27462.6992838852,"0-130"
"US",0.4,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",30587.7210806027,"0-130"
"US",0.45,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",34065.3152185462,"0-130"
"US",0.5,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",38003.1812639792,"0-130"
"US",0.55,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",42131.5530600045,"0-130"
"US",0.6,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",46875.3229549289,"0-130"
"US",0.65,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",52853.0695314779,"0-130"
"US",0.7,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",60212.2156246947,"0-130"
"US",0.75,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",69487.5124884308,"0-130"
"US",0.8,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",82034.1383408634,"0-130"
"US",0.85,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",100202.782506854,"0-130"
"US",0.9,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",127776.177563144,"0-130"
"US",0.95,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",185020.657571645,"0-130"
"US",0.975,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",256880.218968422,"0-130"
"US",0.99,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",402827.175082725,"0-130"
"US",1,"C-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_optImm",2327153.75591857,"0-130"
"US",0,"D-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_pesImm",3502.89726317887,"0-130"
"US",0.01,"D-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_pesImm",10202.7284066909,"0-130"
"US",0.025,"D-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_pesImm",14552.6774027465,"0-130"
"US",0.05,"D-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_pesImm",19279.362624674,"0-130"
"US",0.1,"D-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_pesImm",25946.4026685386,"0-130"
"US",0.15,"D-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_pesImm",31029.6440636854,"0-130"
"US",0.2,"D-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_pesImm",35979.3629660705,"0-130"
"US",0.25,"D-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_pesImm",40867.6617362421,"0-130"
"US",0.3,"D-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_pesImm",45230.1442142798,"0-130"
"US",0.35,"D-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_pesImm",50010.9156862361,"0-130"
"US",0.4,"D-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_pesImm",54980.409546664,"0-130"
"US",0.45,"D-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_pesImm",60307.2378054839,"0-130"
"US",0.5,"D-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_pesImm",66538.6146509197,"0-130"
"US",0.55,"D-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_pesImm",73211.9734407672,"0-130"
"US",0.6,"D-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","lowVac_pesImm",81266.7607006822,"0-130"
