"location","quantile","scenario_id","model_projection_date","target","target_end_date","type","scenario_name","value","age_group","subscenario"
"US",0,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",841.404366670689,"0-130","aggregate"
"US",0.01,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",2485.41920696471,"0-130","aggregate"
"US",0.025,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",3218.16328951071,"0-130","aggregate"
"US",0.05,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",4054.8955085086,"0-130","aggregate"
"US",0.1,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",5418.42873058658,"0-130","aggregate"
"US",0.15,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",6536.7320657173,"0-130","aggregate"
"US",0.2,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",7604.59246400205,"0-130","aggregate"
"US",0.25,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",8619.22680696445,"0-130","aggregate"
"US",0.3,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",9677.14927905804,"0-130","aggregate"
"US",0.35,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",10830.6560414002,"0-130","aggregate"
"US",0.4,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",12134.4500899965,"0-130","aggregate"
"US",0.45,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",13470.726444315,"0-130","aggregate"
"US",0.5,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",14878.957891593,"0-130","aggregate"
"US",0.55,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",16596.6130859708,"0-130","aggregate"
"US",0.6,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",18534.2709943572,"0-130","aggregate"
"US",0.65,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",20994.4590350564,"0-130","aggregate"
"US",0.7,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",23962.8376565699,"0-130","aggregate"
"US",0.75,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",27794.7308405705,"0-130","aggregate"
"US",0.8,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",32658.5400009062,"0-130","aggregate"
"US",0.85,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",39617.6986165015,"0-130","aggregate"
"US",0.9,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",51746.387529512,"0-130","aggregate"
"US",0.95,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",74250.5072167572,"0-130","aggregate"
"US",0.975,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",99590.5066089828,"0-130","aggregate"
"US",0.99,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",144482.214588671,"0-130","aggregate"
"US",1,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",762720.446400525,"0-130","aggregate"
"US",0,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",1223.92677587027,"0-130","early"
"US",0.01,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",3465.79708067014,"0-130","early"
"US",0.025,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",4560.76031750227,"0-130","early"
"US",0.05,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",5782.92452836884,"0-130","early"
"US",0.1,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",7721.45152841354,"0-130","early"
"US",0.15,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",9261.51732294619,"0-130","early"
"US",0.2,"A-2022-08-14","2022-08-14","peak size hosp",NA,"quantile","highVac_optImm",10767.2278040976,"0-130","early"
