"","value","quantile","location","scenario_id","model_projection_date","target","target_end_date","type","scenario_name","age_group"
"1",11893.4116622844,"0.01","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"2",11984.1752687401,"0.025","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"3",12101.801926689,"0.05","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"4",12304.8961656653,"0.1","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"5",12364.5564577421,"0.15","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"6",12446.7977392394,"0.2","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"7",12507.2487842991,"0.25","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"8",12545.6456619201,"0.3","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"9",12574.0291397678,"0.35","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"10",12608.7594265855,"0.4","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"11",12626.0920433603,"0.45","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"12",12716.0329220933,"0.5","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"13",12750.109609331,"0.55","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"14",12799.4254193763,"0.6","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"15",12861.3198905076,"0.65","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"16",12897.6402273191,"0.7","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"17",12978.8057065938,"0.75","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"18",13010.2092084747,"0.8","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"19",13046.3212782162,"0.85","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"20",13068.1406621854,"0.9","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"21",13172.8175124756,"0.95","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"22",13309.1265906036,"0.975","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"23",13403.909019827,"0.99","US","A-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_optImm","0-130"
"24",20232.6528741881,"0.01","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"25",20421.1991484936,"0.025","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"26",20604.4916177445,"0.05","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"27",20738.1045499574,"0.1","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"28",20867.0471450059,"0.15","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"29",20971.952818045,"0.2","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"30",21101.7698863923,"0.25","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"31",21313.2796015412,"0.3","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"32",21401.5355600262,"0.35","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"33",21452.8890556494,"0.4","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"34",21594.7664232215,"0.45","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"35",21638.5041820283,"0.5","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"36",21726.5679586778,"0.55","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"37",21817.5427328632,"0.6","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"38",21846.2645179904,"0.65","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"39",21975.7643086421,"0.7","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"40",21991.7361766589,"0.75","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"41",22044.5041432278,"0.8","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"42",22155.5897113503,"0.85","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
"43",22474.9391717537,"0.9","US","B-2022-11-13","2022-11-13","peak size hosp",NA,"quantile","highVac_pesImm","0-130"
