location,quantile,scenario_id,model_projection_date,target,target end date,type,scenario_name,value,age_group
PA,0.010,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.025,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.050,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.100,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.150,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.200,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.250,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.300,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.350,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.400,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.450,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.500,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.550,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.600,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.650,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.700,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.750,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.800,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.850,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.900,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.950,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.975,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA,0.990,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_optImm,0.0,0-130
PA, NA ,A-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Point,highVE_optImm,0.0,0-130
PA,0.010,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.025,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.050,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.100,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.150,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.200,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.250,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.300,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.350,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.400,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.450,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.500,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.550,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.600,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.650,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.700,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.750,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.800,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.850,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.900,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.950,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.975,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA,0.990,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,highVE_pesImm,0.0,0-130
PA, NA ,B-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Point,highVE_pesImm,0.0,0-130
PA,0.010,C-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,lowVE_optlmm,0.0,0-130
PA,0.025,C-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,lowVE_optlmm,0.0,0-130
PA,0.050,C-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,lowVE_optlmm,0.0,0-130
PA,0.100,C-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,lowVE_optlmm,0.0,0-130
PA,0.150,C-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,lowVE_optlmm,0.0,0-130
PA,0.200,C-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,lowVE_optlmm,0.0,0-130
PA,0.250,C-2022-11-13,2022-11-13,1 wk ahead inc death,2022.46,Quantile,lowVE_optlmm,0.0,0-130
