scenario_id,scenario_name,model_projection_date,target,target_end_date,sample,location,value,age_group
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,1,42,22,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,2,42,11,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,3,42,19,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,4,42,11,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,5,42,20,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,6,42,21,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,7,42,13,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,8,42,14,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,9,42,12,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,10,42,11,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,11,42,17,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,12,42,21,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,13,42,35,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,14,42,15,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,15,42,20,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,16,42,11,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,17,42,10,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,18,42,19,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,19,42,20,0-130
A-2022-11-13,highVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,20,42,26,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,1,42,25,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,2,42,25,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,3,42,17,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,4,42,25,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,5,42,24,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,6,42,21,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,7,42,24,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,8,42,27,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,9,42,21,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,10,42,29,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,11,42,21,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,12,42,22,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,13,42,27,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,14,42,14,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,15,42,25,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,16,42,19,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,17,42,27,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,18,42,22,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,19,42,20,0-130
B-2022-11-13,highVE_pesImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,20,42,21,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,1,42,29,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,2,42,27,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,3,42,21,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,4,42,28,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,5,42,24,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,6,42,28,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,7,42,27,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,8,42,34,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,9,42,19,0-130
C-2022-11-13,lowVE_optImm,2022-11-13,1 wk ahead inc hosp,2022-11-19,10,42,16,0-130
