location,quantile,scenario_id,model_projection_date,target,target_end_date,type,scenario_name,value,age_group
42,0.010,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.025,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.050,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.100,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.150,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.200,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.250,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.300,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.350,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.400,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.450,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.500,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.550,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.600,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.650,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.700,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.750,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.800,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.850,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.900,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.950,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.975,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.990,A-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_optImm,0.0,0-130
42,0.010,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.025,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.050,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.100,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.150,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.200,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.250,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.300,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.350,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.400,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.450,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.500,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.550,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.600,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.650,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.700,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.750,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.800,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.850,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.900,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.950,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.975,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.990,B-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,highVE_pesImm,0.0,0-130
42,0.010,C-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,lowVE_optImm,0.0,0-130
42,0.025,C-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,lowVE_optImm,0.0,0-130
42,0.050,C-2022-11-13,2022-11-13,1 wk ahead cum hosp,2022-11-19,quantile,lowVE_optImm,0.0,0-130
